time(ns) r(mm) y(mm) mom(GeV)
5.07468 28.8038 0.324744 3099.76
5.05578 -6.57376 -6.37761 3091.09
5.11488 -8.35399 -28.4773 3097.05
5.09854 -20.9009 -11.5203 3093.92
5.05961 6.29025 -2.366 3097.01
5.03306 -3.99183 -4.72098 3094.28
5.06882 -8.79961 -12.9479 3093.79
5.06419 -10.3737 3.96501 3092.82
5.11483 -1.05891 -8.41724 3098.53
5.04605 27.3283 -22.4458 3101.38
5.05851 16.8963 -13.7508 3097.61
5.0828 20.4964 -7.32932 3100.03
5.12046 11.16 4.96287 3098.61
5.0776 4.35975 19.0837 3094.43
5.00614 28.4753 7.80469 3102.22
5.05474 22.7169 -8.33401 3096.16
5.06072 1.78205 -2.16903 3092.73
5.01724 27.0505 0.0986919 3098.45
5.05483 5.7232 -16.5434 3094.95
5.05071 8.33713 -3.73217 3096.13
5.11172 -4.69325 -7.58189 3098.93
5.08925 -8.60917 -1.35553 3096.63
5.07732 -6.91847 5.60457 3094.82
5.04607 -13.9943 -11.1764 3092.58
5.08154 -11.5759 -0.0517793 3091.66
5.03773 -1.98368 -21.1836 3094.48
5.07201 9.37096 -20.8343 3093.79
5.09245 15.56 -12.7853 3098.66
5.06177 -11.2438 -22.2397 3093.39
5.05307 -6.30877 -4.22332 3091.73
5.06318 -19.2537 -3.25268 3091.93
5.08478 29.9345 -21.7814 3095.78
5.03364 23.3875 10.7258 3099.58
5.13299 5.77743 -7.05109 3101.09
5.06434 21.1897 -8.75394 3098.22
5.124 -20.6965 -19.1281 3095.49
5.09953 -9.1486 -6.95153 3098.12
5.05784 -5.84085 -15.0437 3093.67
5.05094 28.5544 10.0235 3098.61
5.03729 10.1517 -1.07934 3097.21
5.01354 -0.0851063 -5.39576 3093.05
5.08501 11.05 12.2082 3099.4
5.00688 16.8213 -16.726 3104.27
5.05932 8.79418 6.11827 3093.34
5.09916 13.9933 -5.51298 3099.3
5.10367 -2.55317 -20.5099 3097.12
5.08951 -14.8965 -2.1126 3094.66
5.10408 11.8921 -18.9643 3100.43
5.09252 -20.6898 -22.8198 3094.6
5.03509 12.793 4.49794 3096.86
5.00669 -4.4659 -17.2013 3098.17
5.05138 34.2414 -18.6269 3100.11
5.08461 36.7268 4.79168 3102.62
5.03653 -12.3503 -11.638 3091.73
5.01426 -16.4294 -6.46469 3091.81
5.13578 7.1048 18.7987 3091.89
5.07865 -1.86395 -4.26593 3092.09
5.07981 16.693 -9.68857 3099.31
5.07738 30.0688 -5.74703 3099.63
5.09348 -23.4898 -10.003 3094.66
5.00107 6.86396 -9.01224 3100.98
5.09025 -17.3287 19.949 3091.16
5.12196 -13.4168 0.865416 3096.14
5.07575 -16.6005 -2.43885 3093.12
5.04164 2.77702 -16.5237 3096.39
5.09208 15.4237 -8.90347 3098.42
5.11945 21.6775 -7.28937 3104.56
5.05477 34.2187 -21.3088 3102.1
5.05144 -15.3945 -3.41238 3090.39
5.06944 10.9543 -1.72293 3098.83
5.06254 -0.193012 -2.90964 3096.23
5.06752 2.44971 3.94797 3095.36
5.05701 14.989 -2.37541 3097.63
5.08323 -11.5766 -10.7535 3096.43
5.05155 19.2163 -13.2512 3100.79
5.03439 -13.6167 -6.04719 3091.97
5.1166 21.625 -13.6837 3104.25
5.07879 18.3869 0.382234 3097.69
5.14173 8.99109 -1.04203 3102.98
5.0871 24.0009 3.43944 3093.65
5.08327 -13.831 -4.61341 3094.46
5.07057 -12.7347 1.47987 3093.15
5.13126 -17.567 3.88302 3096.09
5.04045 -6.4366 10.5158 3094.64
5.05815 -2.7434 -7.72283 3093.63
5.04397 11.3275 3.79384 3095.01
5.07191 -24.8425 -1.70299 3090.13
5.08331 -6.72944 -13.9709 3095.13
5.12433 -20.189 -7.40069 3094.88
5.10047 -37.6157 -11.7759 3090.48
